Constitution,Ce știți despre inviolabilitatea domiciliului?,"Inviolabilitatea domiciliului și a reședinței oricărei persone este garantată, stabilind că nimeni nu poate pătrunde sau rămâne în domiciliul ori reședința unei persoane fără acordul acesteia, cu excepțiile prevăzute de lege."
Constitution,Ce știți despre libertatea conștiinței?,"Dreptul la libertatea conștiinței înglobează libertatea gândirii și a opiniilor, cât și libertatea credințelor religioase. Astfel nimeni nu poate fi constrâns să adopte o opinie ori să adere la o credinţă religioasă, contrare convingerilor sale. De asemenea, același articol garanteaza libertatea cultelor religioase, care își pot alege forma de organizare."
Constitution,Ce știți despre libertatea de exprimare?,"Libertatea de exprimare a gândurilor, a opiniilor sau a credințelor și libertatea creațiilor de orice fel, prin viu grai, prin scris, prin imagini, prin sunete sau prin alte mijloace de comunicare în public, sunt inviolabile."
Constitution,Cenzura de orice fel este permisă în România?,Cenzura de orice fel este interzisă în România.
Constitution,Ce știți despre dreptul la informație?,"Dreptul la informație se referă la obligația autorităților de a asigura informarea corectă a cetăţenilor asupra subiectelor publice și de interes personal. Mijloacele de informare în masă, publice şi private, sunt obligate să asigure informarea corectă a opiniei publice."
Constitution,Ce știți despre dreptul de vot?,"Dreptul de vot este unul din drepturile electorale fundamentale, ce oferă cetățenilor cu vârsta de 18 ani la data, împlinită inclusiv la data alegerilor, dreptul de a-și exprima opinia politică."
Constitution,Ce știți despre dreptul la învățătură?,"Dreptul la învățătură este asigurat prin învăţământul general obligatoriu, prin învăţământul liceal şi prin cel profesional, prin învăţământul superior, precum şi prin alte forme de instrucţie şi de perfecţionare. Constituția garantează, de asemenea, gratuitatea învățământului, potrivit legii."
Constitution,Ce știți despre dreptul la ocrotirea sănătății?,Dreptul la ocrotirea sănătății se referă la obligația statului de a lua măsuri pentru asigurarea igienei și a sănătății publice.
Constitution,Ce știți despre dreptul la mediu sănătos?,"Dreptul la un mediu sănătos se referă la obligația statului de a asigura cadrul legislativ pentru exercitarea acestui drept, dar impunând, în același timp, persoanelor fizice și juridice, să protejeze și să amelioreze mediul înconjurător."
Constitution,Ce știți despre dreptul de a fi ales?,"Dreptul de a fi ales este un drept electoral fundamental, care desemnează posibilitatea unei persoane de a îndeplini o demnitate sau funcție electivă în stat. - Cetățenii cu vârsta de cel puțin 23 de ani pot fi aleși în Camera Deputaților sau în organele administrației publice locale - Cetățenii cu vârsta de cel puțin 33 de ani pot fi aleși în Senat - Cetățenii cu vârsta de cel puțin 35 de ani pentru a fi aleși în funcția de Președinte al României"
Constitution,Ce știți despre dreptul de a fi ales în Parlamentul European?,Cetățenii români au dreptul de a alege și de a fi aleși în Parlamentul European.
Constitution,"Care este durata normală a unei zile de lucru, în medie?","Durata normală a zilei de lucru este, în medie, de cel mult 8 ore."
Constitution,Ce activități nu constituie muncă forțată?,"Nu constituie muncă forțată: - activităţile pentru îndeplinirea îndatoririlor militare, precum şi cele desfăşurate, potrivit legii, în locul acestora, din motive religioase sau de conştiinţă - munca unei persoane condamnate, prestată în condiţii normale, în perioada de detenţie sau de libertate condiţionată - prestaţiile impuse în situaţia creată de calamităţi ori de alt pericol, precum şi cele care fac parte din obligaţiile civile normale stabilite de lege"
Constitution,Ce știți despre dreptul la grevă?,"Salariații au dreptul la grevă pentru apărarea intereselor profesionale, economice şi sociale, în condițiile legii."
Constitution,Ce știți despre dreptul de proprietate privată?,"Cetățeanul român are dreptul de a se bucura şi a dispune de un lucru în mod exclusiv și absolut. De asemenea, Constituția garantează împotriva exproprierii, cu excepția cauzelor de utilitate publică, stabilite conform legii. Legea interzice naționalizările și orice alte măsuri de trecere silită în proprietate publică a unor bunuri pe baza apartenenţei sociale, etnice, religioase, politice sau de altă natură discriminatorie a titularilor."
Constitution,Ce înseamnă noțiunea de expropriere pentru cauză de utilitate publică?,Noțiunea de exproprire pentru cauza de utilitate publică reprezintă trecerea în proprietatea statului a unor unităţi administrativ-teritoriale în scopul satisfacerii unor interese publice a unor imobile aparţinând altui proprietar.
Constitution,Ce știți despre libertatea economică?,"Constituția garantează accesul liber al persoanei la o activitate economică cu respectarea principiilor economiei de piaţă şi al liberei iniţiative, fiind vorba despre o manifestare liberă, neplanificată, bazată pe libera iniţiativă şi în condiţiile existenţei unei economii de piaţă."
Constitution,Ce știți despre familie?,"Dreptul la căsătorie şi la întemeierea unei familii reprezintă un drept fundamental. Constituția reglementează constituirea familiei pe căsătoria liber consimţită între soţi, egalitatea acestora şi pe dreptul şi îndatorirea părinţilor de a asigura creşterea, educaţia şi instruirea copiilor. De asemenea, se garantează și egalitatea copiilor din afara căsătoriei cu cei din căsătorie."
Constitution,Ce știți despre protecția copiilor și a tinerilor?,"Statul Român acordă protecție copiilor și tinerilor prin acordarea de alocații pentru copii şi ajutoare pentru îngrijirea copilului bolnav ori cu handicap. De asemenea, Constituția interzice exploatarea și folosirea minorilor în activități ce le-ar pune în primejdie viaţa ori dezvoltarea normală. Copii sub 15 ani sunt protejați, neputând fi angajați ca salariați."
Constitution,Ce știți despre protecția persoanelor cu handicap?,"Constituția oferă persoanelor cu dizabilități toate drepturile și libertățile fundamentale ale omului. In același timp, Constituția prevede realizarea unei politici naționale de egalitate a șanselor și de incluziune, prevenire și tratament în vederea participării efective a persoanelor cu dizabilități în viața comunității."
Constitution,Ce știți despre dreptul de petiționare?,"Constituția prevede dreptul cetățenilor și organizațiilor liber constituite de petiționare, drept scutit de taxe, precum și obligația autorităților publice de a răspunde la petiții."
Constitution,Ce știți despre restrângerea exercițiului unor drepturi sau al unor libertăți?,"Pentru ca autorităţile publice să îşi poată îndeplini misiunile chiar şi în situaţii particulare, fară însă a renunţa la protecţia juridică a drepturilor omului, Constituția permite restrângerea unor drepturi şi libertăţi cetăţeneşti, dar numai cu titlu de excepţie şi numai condiţionat: - pentru apărarea securităţii naţionale, a ordinii, a sănătăţii ori a moralei publice, a drepturilor şi a libertăţilor cetăţenilor - în cazul desfăşurării instrucţiei penale - în vederea prevenirii consecinţelor unei calamităţi naturale, ale unui dezastru ori ale unui sinistru deosebit de grav"
Constitution,Care sunt îndatoririle fundamentale ale cetățenilor români?,"Constituția prevede următoarele îndatoriri ale cetățenilor români: fidelitatea față de țară, dreptul și obligația de apărare a țării, obligația la contribuții financiare și exercitarea drepturilor şi libertăţilor constituţionale cu bună-credinţă."
Constitution,Ce știți despre Avocatul Poporului?,"Avocatul Poporului este numit pe o durată de 5 ani având rolul de apărare a drepturilor și a libertăților persoanelor fizice, exercitându-și atribuțiile din oficiu sau la cererea persoanelor lezate. Avocatul Poporului nu poate îndeplini nicio altă funcție publică sau privată, cu excepția de cadru didactic. Avocatul Poporului prezintă rapoarte celor două Camere ale Parlamentului."
Constitution,Care este durata mandatului Parlamentului?,"Durata mandatului Parlamentului este de 4 ani, care se prelungeşte de drept în stare de mobilizare, de război, de asediu sau de urgenţă, până la încetarea acestora."
Constitution,În ce condiții își desfășoară lucrările în ședințe comune cele două camere ale Parlamentului?,"Lucrările şedinţelor comune sunt conduse, alternativ, de preşedintele Camerei Deputaţilor şi de preşedintele Senatului. Şedinţele comune ale celor două Camere sunt publice, cu exceptia cazurilor in care, la cererea preşedintelui care conduce şedinţa sau a unui grup parlamentar, se hotărăşte, cu cel puţin jumătate plus unu din voturile deputaţilor şi senatorilor prezenţi, ca acestea să fie secrete. La şedinţele publice ale celor două Camere pot asista diplomaţi, reprezentanţi ai presei, radioului şi televiziunii, precum şi cetăţeni, pe baza unei autorizaţii sau invitaţii emise de secretarii generali ai aparatelor celor două Camere."
Constitution,Ce știți despre sesiunile Parlamentului?,"Camera Deputaţilor şi Senatul se întrunesc în două sesiuni ordinare pe an. Prima sesiune începe în luna februarie şi nu poate depăşi sfârşitul lunii iunie. A doua sesiune începe în luna septembrie şi nu poate depăşi sfârşitul lunii decembrie. Camera Deputaţilor şi Senatul se întrunesc şi în sesiuni extraordinare, la cererea Preşedintelui României, a biroului permanent al fiecărei Camere ori a cel puţin o treime din numărul deputaţilor sau al senatorilor. Convocarea Camerelor se face de preşedinţii acestora."
Constitution,Cu ce este incompatibilă calitatea de deputat sau de senator?,"Nimeni nu poate fi, în acelaşi timp, deputat şi senator. Calitatea de deputat sau de senator este incompatibilă cu exercitarea oricărei funcţii publice de autoritate, cu excepţia celei de membru al Guvernului."
Constitution,Ce știți despre imunitatea parlamentară?,"Imunitatea parlamentară are diferite aspecte: deputaţii şi senatorii nu pot fi traşi la răspundere juridică pentru voturile sau pentru opiniile politice exprimate în exercitarea mandatului. Deputaţii şi senatorii pot fi urmăriţi şi trimişi în judecată penală pentru fapte care nu au legătură cu voturile sau cu opiniile politice exprimate în exercitarea mandatului, dar nu pot fi percheziţionaţi, reţinuţi sau arestaţi fără încuviinţarea Camerei din care fac parte, după ascultarea lor. Urmărirea şi trimiterea în judecată penală se pot face numai de către Parchetul de pe lângă Înalta Curte de Casaţie şi Justiţie. Competenţa de judecată aparţine Înaltei Curţi de Casaţie şi Justiţie. În caz de infracţiune flagrantă, deputaţii sau senatorii pot fi reţinuţi şi supuşi percheziţiei."
Constitution,Ce știți despre inițiativa legislativă?,"Iniţiativa legislativă aparţine, după caz, Guvernului, Deputaţilor, Senatorilor sau unui număr de cel puţin 100.000 de cetăţeni cu drept de vot."
Constitution,Ce probleme nu pot face obiectul inițiativei legislative?,"Nu pot face obiectul iniţiativei legislative a cetăţenilor problemele fiscale, cele cu caracter internaţional, amnistia şi graţierea."
Constitution,Când intră în vigoare o lege?,Legea se publică în Monitorul Oficial al României şi intră în vigoare la 3 zile de la data publicării sau la o dată ulterioară prevăzută în textul ei.
Constitution,Când intră în vigoare o ordonanță de urgență?,"Ordonanţa de urgenţă intră în vigoare numai după depunerea sa spre dezbatere în procedură de urgenţă la Camera competentă să fie sesizată şi după publicarea ei în Monitorul Oficial al României. Camerele, dacă nu se află în sesiune, se convoacă în mod obligatoriu în 5 zile de la depunere sau, după caz, de la trimitere. Dacă în termen de cel mult 30 de zile de la depunere, Camera sesizată nu se pronunţă asupra ordonanţei, aceasta este considerată adoptată şi se trimite celeilalte Camere care decide de asemenea în procedură de urgenţă."
Constitution,În ce domenii nu pot fi adoptate ordonanțe de urgență?,"Ordonanţele de urgenţă nu pot fi adoptate în domeniul legilor constituţionale, nu pot afecta regimul instituţiilor fundamentale ale statului, drepturile, libertăţile şi îndatoririle prevăzute de Constituţie, drepturile electorale şi nu pot viza măsuri de trecere silită a unor bunuri în proprietate publică."
Constitution,Ce este Consiliul Legislativ?,"Consiliul Legislativ este organ consultativ de specialitate al Parlamentului, care avizează proiectele de acte normative în vederea sistematizării, unificării şi coordonării întregii legislaţii. El ţine evidenţa oficială a legislaţiei României."
Constitution,Care este rolul Președintelui României?,"Rolul Preşedintelui României este de reprezentant al statului român şi de garant al independenţei naţionale, al unităţii şi al integrităţii teritoriale a ţării. Preşedintele României veghează la respectarea Constituţiei şi la buna funcţionare a autorităţilor publice. În acest scop, Preşedintele exercită funcţia de mediere între puterile statului, precum şi între stat şi societate."
Constitution,Cum este ales Președintele României?,"Preşedintele României este ales prin vot universal, egal, direct, secret şi liber exprimat. Este declarat ales candidatul care a întrunit, în primul tur de scrutin, majoritatea de voturi ale alegătorilor înscrişi în listele electorale. În cazul în care nici unul dintre candidaţi nu a întrunit această majoritate, se organizează al doilea tur de scrutin, între primii doi candidaţii in functie de numărul de voturi obţinute în primul tur."
Constitution,Care este durata mandatului Președintelui României?,"Mandatul Preşedintelui României are o durată de 5 ani şi se exercită de la data depunerii jurământului. Preşedintele României îşi exercită mandatul până la depunerea jurământului de Preşedintele nou ales. Președintele poate avea cel mult două mandate, chiar și succesive."
Constitution,Mandatul Președintelui României poate fi prelungit?,"Mandatul Preşedintelui României poate fi prelungit, prin lege organică, în caz de război sau de catastrofă."
Constitution,Cum este numit Guvernul României?,"Preşedintele României desemnează un candidat pentru funcţia de prim-ministru şi numeşte Guvernul pe baza votului de încredere acordat de Parlament. În caz de remaniere guvernamentală sau de vacanţă a postului, Preşedintele revocă şi numeşte, la propunerea primului-ministru, pe unii membri ai Guvernului."
Constitution,Ce știți despre dizolvarea Parlamentului?,"După consultarea preşedinţilor celor două Camere şi a liderilor grupurilor parlamentare, Preşedintele României poate să dizolve Parlamentul, dacă acesta nu a acordat votul de încredere pentru formarea Guvernului în termen de 60 de zile de la prima solicitare şi numai după respingerea a cel puţin două solicitări de învestitură. În cursul unui an, Parlamentul poate fi dizolvat o singură dată. Parlamentul nu poate fi dizolvat în ultimele 6 luni ale mandatului Preşedintelui României şi nici în timpul stării de mobilizare, de război, de asediu sau de urgenţă."
Constitution,Care sunt atribuțiile Președintelui României în domeniul politicii externe?,"Preşedintele are multiple atribuții în domeniul politicii externe, printre care: - încheie tratate internaţionale în numele României, negociate de Guvern, şi le supune spre ratificare Parlamentului, într-un termen rezonabil; - la propunerea Guvernului, acreditează şi recheamă reprezentanţii diplomatici ai României şi aprobă înfiinţarea, desfiinţarea sau schimbarea rangului misiunilor diplomatice."
Constitution,Care sunt atribuțiile Președintelui României în domeniul apărării?,"Preşedintele României este comandantul forţelor armate şi îndeplineşte funcţia de preşedinte al Consiliului Suprem de Apărare a Ţării. El poate declara, cu aprobarea prealabilă a Parlamentului, mobilizarea parţială sau totală a forţelor armate."
Constitution,Ce știți despre măsurile excepționale ce pot fi instituite de către Președintele României?,"Preşedintele României instituie, potrivit legii, starea de asediu sau starea de urgenţă în întreaga ţară ori în unele unităţi administrativ-teritoriale şi solicită Parlamentului încuviinţarea măsurii adoptate, în cel mult 5 zile de la luarea acesteia."
Constitution,"Cine acordă gradele de mareșal, de general și de amiral?","Președintele României acordă gradele de mareșal, de general și de amiral."
Constitution,Ce știți despre grațierea individuală?,"Grațierea se măsoară se iartare ce constă în înlăturarea, în total sau în parte, a executării pedepsei aplicate de instanță ori în înlocuirea acesteia în una mai ușoară. Grațierea poate fi acordată individual, prin decret al Președintelui României. Grațierea individuală se acordă la cerere sau din oficiu, după hotărârea definitivă de condamnare."
Constitution,Cine conferă în România decorații și titluri de onoare?,Președintele României acordă decorații și titluri de onoare.
Constitution,Ce știți despre suspendarea din funcție a Președintelui României?,"În cazul săvârșirii unor fapte grave prin care încalcă prevederile Constituției, Președintele României poate fi suspendat din funcție de Camera Deputaților și de Senat, în ședință comună, după consultarea Curții Constituționale. Președintele poate da Parlamentului explicații cu privire la faptele de care este acuzat."
Constitution,Ce știți despre punerea sub acuzare a Președintelui României?,"Camera Deputaților și Senatul, în ședință comună, cu votul a cel puțin două treimi din numărul deputaților și senatorilor, pot hotărî punerea sub acuzare a Președintelui României pentru înaltă trădare."
Constitution,Când intervine vacanța funcției de Președinte al României?,"Vacanța funcției de Președinte al României intervine în caz de demisie, de demitere din funcție, de imposibilitate definitivă a exercitării atribuțiilor sau de deces. În termen de 3 luni de la data la care a intervenit vacanța funcției de Președinte al României, Guvernul va organiza alegeri pentru un nou Președinte."
Constitution,Cine asigură interimatul funcției de Președinte al României?,"Dacă funcția de Președinte devine vacantă sau dacă Președintele este suspendat din funcție sau dacă se află în imposibilitate temporară de a-și exercita atribuțiile, interimatul se asigură, în ordine, de președintele Senatului sau de președintele Camerei Deputaților."
Constitution,Rolul și structura Guvernului României?,"Guvernul, potrivit programului său de guvernare acceptat de Parlament, asigură realizarea politicii interne și externe a țării și exercită conducerea generală a administrației publice. În îndeplinirea atribuțiilor sale, Guvernul cooperează cu organismele sociale interesate. Guvernul este alcătuit din prim-ministru, miniștri și alți membri stabiliți prin lege organică."
Constitution,Care sunt atribuțiile prim-ministrului Guvernului României?,"Primul-ministru conduce Guvernul și coordonează activitatea membrilor acestuia, respectând atribuțiile ce le revin. De asemenea, primul-ministru prezintă Camerei Deputaților sau Senatului rapoarte și declarații cu privire la politica Guvernului, care se dezbat cu prioritate."
Constitution,Când încetează mandatul Guvernului României?,"Guvernul își exercită mandatul până la data validării alegerilor parlamentare generale. Guvernul este demis la data retragerii de către Parlament a încrederii acordate sau dacă primul-ministru se află în una dintre situațiile prevăzute la articolul 106, cu excepția revocării, ori este în imposibilitate de a-și exercita atribuțiile mai mult de 45 de zile."
Constitution,Ce sunt întrebările și interpelările parlamentare?,"Întrebarea constă într-o simplă cerere de a răspunde dacă un fapt este adevărat, dacă Guvernul și celelalte organe ale administrației publice înțeleg să comunice Camerei informațiile și documentele cerute de Camera Deputaților sau de comisiile permanente ale acestora. Interpelarea constă într-o cerere adresată Guvernului de un grup parlamentar, de unul sau mai mulți deputați, prin care se solicită explicații asupra politicii Guvernului în probleme importante ale activității sale interne sau externe."
Constitution,Ce știți despre moțiunea de cenzură?,"Camera Deputaților și Senatul, în ședință comună, pot retrage încrederea acordată Guvernului prin moțiune de cenzură, ce trebuie adoptată cu votul majorității deputaților și senatorilor. Moțiunea de cenzură poate fi inițiată de cel puțin o pătrime din numărul total al deputaților și senatorilor și se dezbate după 3 zile de la data când a fost prezentată în ședință comună a celor două Camere."
Constitution,Ce știți despre angajarea răspunderii Guvernului României?,"Guvernul își poate angaja răspunderea în fața Camerei Deputaților și a Senatului, în ședință comună, asupra unui program, a unei declarații de politică generală sau a unui proiect de lege. Guvernul este demis dacă se adoptă o moțiune de cenzură, depusă în termen de 3 zile de la prezentarea programului, declarației de politică generală sau a proiectului de lege, în toate condițiile Articolului 113 din Constituție."
Constitution,Este permisă organizarea de activități militare sau paramilitare în afara instituțiilor statului?,Organizarea de activități militare sau paramilitare în afara instituțiilor statului este interzisă.
Constitution,Ce este Consiliul Suprem de Apărare a Țării?,"Consiliul Suprem de Apărare a Țării organizează și coordonează activitatea apărării țării și securității naționale, participarea la menținerea securității internaționale și siguranța colectivă în sistemele de alianță militară, precum și acțiuni în vederea asigurării ordinii publice."
Constitution,Ce este Consiliul Județean?,Consiliul Județean este autoritatea administrației publice pentru coordonarea activității consiliilor locale și ale primăriilor.
Constitution,Ce este prefectul?,Prefectul este reprezentantul Guvernului pe plan local și conduce serviciile publice deconcentrate ale ministerelor și ale celorlalte organe ale administrației publice centrale din unitățile administrativ-teritoriale.
Constitution,Care este statutul judecătorilor?,"Judecătorii numiți de Președintele României sunt inamovibili. Un judecător nu poate fi eliberat din funcție decât prin acordul acestuia. Funcția de judecător este incompatibilă cu orice altă funcție publică sau privată, cu excepția funcției didactice din învățământul superior."
Constitution,Ce știți despre instanțele judecătorești?,Justiția se realizează prin Înalta Curte de Casație și Justiție și prin celelalte instanțe judecătorești stabilite de lege. Înalta Curte de Casație și Justiție asigură interpretarea și aplicarea unitară a legii de către celelalte instanțe judecătorești.
Constitution,Este permisă în România înființarea de instanțe extraordinare?,"Înființarea de instanțe extraordinare este interzisă. Prin lege organică pot fi înființate instanțe specializate în anumite materii, cu posibilitatea participării, după caz, a unor persoane din afara magistraturii."
Constitution,Ce știți despre folosirea limbii materne și a interpretului în justiție?,"În justiția română, limba folosită este limba română. Însă cetățenii români aparținând minorităților naționale au dreptul să se exprime în limba maternă în fața instanțelor de judecată."
Constitution,Ce este Ministerul Public?,"În activitatea judiciară, Ministerul Public reprezintă interesele generale ale societății și apără ordinea de drept, precum și drepturile și libertățile cetățenilor. Ministerul Public își exercită atribuțiile prin procurori constituiți în parchete pe lângă instanțele judecătorești, conduc și supraveghează activitatea de cercetare penală a poliției judiciare."
Constitution,Care este statutul procurorilor?,"Funcția de procuror este exercitată potrivit principiului legalității, al imparțialității și al controlului ierarhic, sub autoritatea ministrului justiției. Funcția de procuror este incompatibilă cu orice altă funcție publică sau privată, cu excepția funcțiilor didactice din învățământul superior."
